username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate,tier_rank,overall_rank
mentalhealthmatch,32172,2570,micro,0.9,0.925,0.7,0.8,0.0051,1.0,0.6548,0.35,0.3,0.2,0.15,0.91,1.0,0.95,0.9495,high,False,,"The account focuses on mental health by providing therapy resources, mental wellbeing tips, and related content in most posts.","Comments show engagement and appreciation, but there are fewer instances of help-seeking or emotional sharing compared to the other criteria.","The captions are specific and offer insights into mental health topics, although some posts contain more generic advice or promote community events.","Relevance 0.93, audience intent 0.70, content depth 0.80, engagement quality 0.01. Median engagement rate 0.04% across 19 posts. Confidence high (0.95).","Is your inner voice a meanie?⁠
⁠
Let’s talk about that voice in your head that thinks it’s the boss — and how to stop letting it run the whole damn show.⁠
⁠",👏👏👏👏,Hmmmm something’s missing here #community,19,37,0.000435,1,2
anxietyjosh,244524,2034,mid,0.9,0.9042,0.8,0.8,0.211,0.9167,0.7187,0.35,0.3,0.2,0.15,0.9098,1.0,0.85,0.9294,high,False,,Bio and posts are primarily mental-health focused with a clear emphasis on anxiety and OCD.,"Comments show help-seeking, emotional sharing, and trust, indicating a strong mental-health focus in the audience.","Posts provide specific insights into the experience and management of anxiety, although some are more generic or motivational in nature.","Relevance 0.90, audience intent 0.80, content depth 0.80, engagement quality 0.21. Median engagement rate 0.34% across 17 posts. Confidence high (0.93).",Most anxiety advice online.,@anxietyjosh my 10 yr old daughter is showing signs of anxiety (big what-if thinker). Do you have any tips on how to balance the 'do it anyway ' approach with not causing her to feel she isnt supported or burning her out.,What if there is a real threat? Anxiety is a survival reaction isn’t it? Isn’t it a shock response? I’m in high anxiety due to redundancy as a single income household. I am in danger,17,40,0.003378,1,1
therapynotebooks,66956,353,mid,0.9,0.8583,0.6,0.7,0.1935,0.7333,0.6241,0.35,0.3,0.2,0.15,0.985,1.0,0.95,0.9832,high,False,,"The account focuses on mental health tools and CBT, which are mental-health related.","Comments show interest, need, and gratitude towards the products, but not explicitly expressing help-seeking or emotional sharing towards the account itself.","While the captions are specific to their products, they do provide some context and explanation about CBT and its techniques.","Relevance 0.86, audience intent 0.60, content depth 0.70, engagement quality 0.19. Median engagement rate 0.18% across 19 posts. Confidence high (0.98).","Summer is a busy time with the potential for routine disruptions and changes. It's common for these transition moments to feel more difficult, but when we're having trouble getting back into the swing of things, it's understandable to feel frustrated. Doing an entry in The Anti-Anxiety Notebook can help you take a step back and understand what's go",I truly need this as I’m about to come back from working in a hot place back to uk and i sense the lower moods coming,I’m confused as to whether cbt ir dbt is more effective...,19,40,0.001807,2,3
talkspace,150195,519,mid,0.9,0.8063,0.7,0.8,0.0002,0.525,0.6122,0.35,0.3,0.2,0.15,1.0,1.0,0.8,0.96,high,False,,Instagram account focuses on mental health through the promotion of therapy and mental health care services.,"Comments show engagement and emotional sharing, but not explicitly seeking help or expressing trust in the influencer.","Captions provide specific examples and insights from therapy, but could go further in-depth and originality.","Relevance 0.81, audience intent 0.70, content depth 0.80, engagement quality 0.00. Median engagement rate 0.00% across 16 posts. Confidence high (0.96).","“Remembering that we’re a team, you know, we’re not one against the other. One isn’t right and one isn’t wrong, it’s ‘we are one’.”

Yenori and Adam don’t believe in divorce. They believe it’s important to know how to work together at all times, which isn’t always easy when parenting three children. Therapy has helped them learn when and how to com",Mindfulness tools can truly help shift perspective and ease anxiety. Small practices make a big difference.,I love hearing the personal stories. Keep going Queen ❤️,16,40,2e-05,3,4
mentalhealthamerica,296019,818,mid,0.9,0.7375,0.7,0.6,0.1435,0.25,0.5868,0.35,0.3,0.2,0.15,0.8652,1.0,1.0,0.9393,high,False,,"The account is mostly mental-health focused, but also includes some content about prevention and support which is not primary mental-health content.","The comments show help-seeking, emotional sharing, and trust, but not as strongly as some other accounts.","The captions are generally specific and original, but sometimes lack depth and insight.","Relevance 0.74, audience intent 0.70, content depth 0.60, engagement quality 0.14. Median engagement rate 0.17% across 20 posts. Confidence high (0.94).",This feeling is temporary. You can get through this. 🩵,"Your worth isn't measured by what you produce, it’s found in who you are when you’re simply being.",Honestly I'm struggling and finding anything to like about myself during the lows is very hard.,20,40,0.001691,4,7
therapyforwomen,464698,988,mid,0.8,0.8188,0.6,0.7,0.0063,0.875,0.5728,0.35,0.3,0.2,0.15,1.0,1.0,0.65,0.93,high,False,,"The account is primarily about therapy and mental health, but also includes content about other topics such as baked goods and Disney world.","The comments show some help-seeking and emotional sharing, but also include general supportive comments and off-topic discussions.","The captions often provide specific and insightful information, but sometimes include generic content such as jokes and challenges.","Relevance 0.82, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.05% across 13 posts. Confidence high (0.93).","The incredible @nedratawwab is on the Nuance Needed podcast today!

This is a jam packed episode filled with incredible insight…
- why she wrote her new book, The Balancing Act
- her tips for hard conversations 
- the overuse of word codependency 
- the myth that we only need one person 
- and SO much more! 

Listen to podcast and be sure to check ",This was a theme yesterday in all of my sessions. I love when I find content to back up the discussions in real time!!,I am 7 months sober today. Informative videos like this keep me going ✨🩷,13,40,0.00054,5,9
betterhelp,616644,324,macro,0.9,0.9104,0.6,0.7,0.0091,0.9417,0.6055,0.35,0.3,0.2,0.15,0.94,1.0,0.65,0.903,high,False,,The account is mostly about mental health with a focus on therapy and support.,"Comments show some emotional sharing and trust, but not strongly indicative of help-seeking behavior.","While the captions are specific to mental health, they are not consistently insightful or original, often promoting the service or specific episodes.","Relevance 0.91, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 13 posts. Confidence high (0.90).","The end of another year is almost here... and sometimes it comes with a year's worth of heaviness. 

But here's the thing: you don't have to carry it all alone. And you certainly don't need a ""new you."" 

Match with a therapist who can provide relief and support—and help you feel lighter today and all throughout 2026. ✨",@overgenpoverty thank you for be so real and transparent . 👏 literally going to listen to this NOW!,I still carry guilt from my divorce not fair to the kids,13,40,0.000782,1,5
mindcharity,565697,277,macro,0.9,0.8729,0.6,0.7,0.0092,0.7917,0.5924,0.35,0.3,0.2,0.15,1.0,1.0,0.75,0.95,high,False,,"Bio and captions show clear focus on mental health, but also promote events and external links.","Comments show support and engagement, but not explicitly seeking help or sharing emotional experiences.","Captions contain specific and original content, but also include generic phrases like 'you deserve it'.","Relevance 0.87, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 15 posts. Confidence high (0.95).",We sat down with @miquitaoliver for International Women’s Day.,❤️❤️❤️❤️❤️,How is it that someone can be so confused with looking for general mental health support and be manipulated by so many people just wanting to make money from someone’s suffering. Thank goodness for coming across this page. Thank you Lucas and thank you to you,15,40,0.000787,2,6
theanxietyhealer,639241,2657,macro,0.8,0.85,0.6,0.7,0.0004,1.0,0.5826,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,"Instagram account focuses on issues relevant to women over 40, often related to mental health, but not exclusively mental health","Comments show emotional sharing and trust, but less help-seeking compared to highly curated mental health accounts","Posts provide specific insights and personal experiences, but sometimes lack depth and novelty","Relevance 0.85, audience intent 0.60, content depth 0.70, engagement quality 0.00. Median engagement rate 0.00% across 20 posts. Confidence high (1.00).","Here’s what most people don’t realize: the way you feel in the first 30 minutes of your morning sets the entire tone for your nervous system for the rest of the day.

Not just your mood. Your cortisol levels. Your ability to handle stress. Your anxiety baseline.

After 40, our hormones are already shifting — estrogen drops, cortisol becomes harder ",Yup this is me. But it’s grief about being childless single woman. I feel like I’m dying. I’ve convinced myself I’m dying.,the part about a different timeline not meaning a lesser life genuinely made me tear up. it takes so much courage to say these things out loud and i think a lot of women needed to hear this today,20,40,3.3e-05,3,8
sitwithwhit,566211,594,macro,0.9,0.7542,0.6,0.7,0.0181,0.3167,0.5526,0.35,0.3,0.2,0.15,0.95,1.0,1.0,0.9775,high,False,,"Bio and captions clearly indicate mental health as a focus, specifically addressing family dysfunction and healing.","Comments show engagement and appreciation, but not as much help-seeking or emotional sharing as desired.","Captions show some depth with specific topics and resources, but can be more insightful and original.","Relevance 0.75, audience intent 0.60, content depth 0.70, engagement quality 0.02. Median engagement rate 0.16% across 20 posts. Confidence high (0.98).","If we haven't met, I'm Whitney! I created @callinghome.co because family dysfunction is exhausting & you deserve support. Calling Home helps you build a better family. Join The Family Cyclebreakers Club® & listen to @thecallinghomepodcast. Comment MEMBER to join us.

PS. I am on maternity leave until June 1 and I'm not on here much. All posts have ",What are you supposed to do in these instances?,This is something I’m still unlearning in real time.,20,40,0.001552,4,10
mindfulmft,726666,405,macro,0.8,0.725,0.6,0.7,0.0134,0.5,0.5414,0.35,0.3,0.2,0.15,1.0,1.0,0.75,0.95,high,False,,"Account focuses on relationships and personal growth, with some content touching on mental health topics.","Comments show some emotional sharing and trust, but not overwhelmingly so.","Posts offer specific insights and reflections, but not consistently original or groundbreaking.","Relevance 0.73, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.11% across 15 posts. Confidence high (0.95).","Don’t miss out on my Overcoming Loneliness community experience during the month of May in honor of Mental Health Awareness Month. I have an incredible line up of experts who are going to tackle the topics of loneliness with self, with dating/relationships, with friends, and with family. The month long experience is only $47 and I hope you can join",Im lost in needed help ❤️,Expressing what we want is the best way of helping ourselves to actually get it 👏 our partners aren’t supposed to be mind readers!,15,40,0.001149,5,12
yourdiagnonsense,555994,2011,macro,0.8,0.6625,0.6,0.7,0.045,0.25,0.5259,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,Posts are primarily related to relationships and sex which are aspects of mental health.,Comments show some emotional engagement and agreement but lack personal sharing or help-seeking behavior.,Posts provide some specific insights and personal opinions but lack academic or evidence-based information.,"Relevance 0.66, audience intent 0.60, content depth 0.70, engagement quality 0.05. Median engagement rate 0.39% across 20 posts. Confidence high (1.00).","Most people have a lot they want to share with their partner. That they don’t. Things they’ve been holding in sometimes for a very long time. But they’re totally freaked out. Hopeless. Avoidant. And more versions of anxiety.

So if your partner actually gets the courage to have that conversation with you, or any real conversation, that’s a big deal","I want to just come up and hug you, while you swing your legs and teach me more 🙌❤️",@yourdiagnonsense should a partner need to ask for kindness? Is this not baseline?,20,40,0.003859,6,13
selfcareisforeveryone,1029791,1297,macro,0.7,0.6917,0.5,0.6,0.0002,0.6667,0.4821,0.35,0.3,0.2,0.15,0.9828,1.0,1.0,0.9922,high,False,,"Instagram account focuses on self-care and mental health, but also promotes products and collaborations.","Comments show engagement and appreciation, but not explicitly expressing help-seeking or emotional sharing.","Captions provide specific examples of self-care and mental health, but also include generic phrases and promotional content.","Relevance 0.69, audience intent 0.50, content depth 0.60, engagement quality 0.00. Median engagement rate 0.00% across 20 posts. Confidence high (0.99).","you rested.
you protected your energy.
you said no.
you listened to your body.
you gave yourself a moment to breathe.

and that counts 🩵

rest isn’t wasted time.
it’s how you keep going.",funny how 'i did nothing' is the one thing most people actually can't do. sitting still without reaching for your phone takes more discipline than most workouts.,Needed this today,20,40,2e-05,7,15
headspace,1416127,857,macro,0.8,0.6625,0.5,0.6,0.0031,0.25,0.4725,0.35,0.3,0.2,0.15,0.88,1.0,1.0,0.946,high,False,,"The account is related to mental health, specifically focusing on sleep and stress, but it also promotes products and experiences.","Comments show some emotional sharing and trust, but not as strongly as desired for a mental health-focused account.","While the captions are somewhat specific and original, they still have a promotional aspect and lack deep exploration of mental health topics.","Relevance 0.66, audience intent 0.50, content depth 0.60, engagement quality 0.00. Median engagement rate 0.03% across 20 posts. Confidence high (0.95).","Picture it: You’re on vacation. Soft, fluffy sheets in a room not your own, waking up to streaming sunlight or singing birds. No alarm set, phone on DND. You’re well-rested and ready to explore or unwind somewhere new. 

That’s the kind of sleep we’re celebrating this Sleep Week. 

We want to hear about it: Where in the world did you sleep like *th",I had no job. Last time I slept well . Last night 🌙 ❤️❤️,"Rest feels different when your mind finally lets go, not just your body.",20,40,0.000267,8,16
therapyjeff,1522050,1254,major,0.8,0.7042,0.5,0.6,0.3129,0.4167,0.549,0.35,0.3,0.2,0.15,0.8682,1.0,0.95,0.9307,high,False,,"Uses #mentalhealth and #therapy frequently, but also promotes books, podcasts, and relationship tips.","Audience shares personal experiences and emotions, but also includes unrelated comments and compliments.","Provides some insightful comments, but also includes generic advice and promotes personal content.","Relevance 0.70, audience intent 0.50, content depth 0.60, engagement quality 0.31. Median engagement rate 1.30% across 19 posts. Confidence high (0.93).","The president of the United States got on social media this morning and said a whole civilization will die tonight. 

#mentalhealth #therapy","The irony of you wearing a band tee of a band whose members committed sexual assault on live tv for the whole world to see, whose lead singer admits to raping a girl in his book… that was on purpose, right?  A subtle, *intentional* joke about how we all just forget the bad stuff,",As a Lebanese American I’ve been crying all morning,19,40,0.012979,1,11
the.holistic.psychologist,9071586,1764,major,0.8,0.8042,0.4,0.6,0.0221,0.8167,0.4959,0.35,0.3,0.2,0.15,0.98,1.0,0.85,0.961,high,False,,"The account is not exclusively about mental health, but it does touch upon it frequently.","Comments show a mix of engagement, support, and some personal sharing, but not explicitly help-seeking or emotional sharing related to mental health.","While the captions are specific to certain experiences and contain some original insights, they are often promotional for the account owner's book and services.","Relevance 0.80, audience intent 0.40, content depth 0.60, engagement quality 0.02. Median engagement rate 0.19% across 17 posts. Confidence high (0.96).","📕 I’M GIVING AWAY 3 SIGNED COPIES OF MY NEW BOOK “REPARENTING THE INNER CHILD”

👉🏻TO ENTER: 
1. Leave a comment and tell me where you’re from 
2. Share this post in your stories 

3 winner will be chosen tomorrow. You’ll be contacted by me directly through DM. Do not give your credit card info to anyone claiming to be on my team.

Good luck!!

PS- ","Johannesburg , South Africa . 💕",I get sick after seeing my mother-in-law. Every time. Like clockwork. She is very cruel to me.,17,40,0.001896,2,14
thegoodquote,23314102,17,major,0.7,0.65,0.5,0.6,0.0024,0.5,0.468,0.35,0.3,0.2,0.15,0.8916,1.0,0.55,0.8612,high,False,,Instagram account has some mental health related content but it's not the primary focus.,Comments show some emotional sharing and trust but not strongly focused on help-seeking.,"Captions are generally insightful but not always specific or original, some are quotes from other accounts.","Relevance 0.65, audience intent 0.50, content depth 0.60, engagement quality 0.00. Median engagement rate 0.02% across 11 posts. Confidence high (0.86).","The importance of enforcing you boundaries 
@earthtoroxanne sits down with @jayshetty 🌻
Full video on YouTube",This feel personal 🤍,#पुकार किस गुनाह की सजा काट रहे थे हम,11,40,0.000208,3,17
calm,3704821,28,major,0.7,0.6396,0.5,0.6,0.0033,0.4583,0.4645,0.35,0.3,0.2,0.15,0.7104,1.0,1.0,0.8697,high,False,,"Instagram account focuses on relaxation and mental well-being, but also incorporates non-mental health content like nature appreciation and self-care activities.","Comments show general support and agreement, but do not explicitly express help-seeking, emotional sharing, or trust.","Captions provide some insight into mental health, such as the importance of self-talk and reducing screen time, but also include generic phrases like 'touch some grass' and 'feel alive'.","Relevance 0.64, audience intent 0.50, content depth 0.60, engagement quality 0.00. Median engagement rate 0.03% across 20 posts. Confidence high (0.87).","“I needed this,” and it’s literally just laying on the grass instead of looking at a screen.",Rad🧡,I needed this.,20,40,0.000281,4,18
nedratawwab,1831620,244,major,0.6,0.5229,0.4,0.5,0.012,0.2917,0.3804,0.35,0.3,0.2,0.15,0.9075,1.0,0.6,0.8784,high,False,,"Bio and some captions are related to mental health, but not exclusively focused on it.","Comments show some engagement, but not strongly indicative of help-seeking or emotional sharing.","Captions are generally specific and original, but not always insightful or deeply related to mental health.","Relevance 0.52, audience intent 0.40, content depth 0.50, engagement quality 0.01. Median engagement rate 0.10% across 12 posts. Confidence high (0.88).",Listen to my char with @michellemaros about her book Dear Friend.,Love ❤️ my mom reads the reminders too and it helps 😍,The truth!,12,40,0.001029,5,19
